Id,SalePrice
1461,115266.0
1462,134881.0
1463,162655.0
1464,165644.0
1465,184302.0
1466,161464.0
1467,153391.0
1468,152180.0
1469,169941.0
1470,115642.0
1471,179882.0
1472,95584.0
1473,95110.0
1474,136230.0
1475,123273.0
1476,316550.0
1477,236441.0
1478,251551.0
1479,261613.0
1480,378759.0
1481,292579.0
1482,192044.0
1483,151389.0
1484,164183.0
1485,165682.0
1486,184711.0
1487,289168.0
1488,224518.0
1489,179515.0
1490,181890.0
1491,183869.0
1492,97136.0
1493,173774.0
1494,278630.0
1495,288420.0
1496,208078.0
1497,172777.0
1498,152049.0
1499,152878.0
1500,134944.0
1501,147147.0
1502,147234.0
1503,246085.0
1504,219943.0
1505,200818.0
1506,172341.0
1507,209162.0
1508,185025.0
1509,150822.0
1510,135567.0
1511,136149.0
1512,154748.0
1513,133204.0
1514,150691.0
1515,179026.0
1516,147769.0
1517,141000.0
1518,134154.0
1519,202231.0
1520,126119.0
1521,127904.0
1522,156193.0
1523,102050.0
1524,114813.0
1525,115316.0
1526,115985.0
1527,106266.0
1528,123825.0
1529,134943.0
1530,151972.0
1531,110022.0
1532,96711.0
1533,121397.0
1534,112325.0
1535,140577.0
1536,107618.0
1537,80000.0
1538,155208.0
1539,185497.0
1540,86622.0
1541,133541.0
1542,125376.0
1543,185290.0
1544,75121.0
1545,105591.0
1546,114184.0
1547,114755.0
1548,114194.0
1549,109932.0
1550,126076.0
1551,118810.0
1552,125733.0
1553,125469.0
1554,106438.0
1555,148328.0
1556,83295.0
1557,103800.0
1558,92731.0
1559,89396.0
1560,132291.0
1561,115554.0
1562,117473.0
1563,112463.0
1564,146905.0
1565,131943.0
1566,212019.0
1567,81364.0
1568,199726.0
1569,129400.0
1570,126399.0
1571,120404.0
1572,135911.0
1573,228991.0
1574,109701.0
1575,204797.0
1576,188492.0
1577,177701.0
1578,135348.0
1579,133002.0
1580,187138.0
1581,127098.0
1582,119123.0
1583,292212.0
1584,213022.0
1585,132532.0
1586,75396.0
1587,104552.0
1588,132770.0
1589,98982.0
1590,123637.0
1591,91120.0
1592,112239.0
1593,120355.0
1594,107158.0
1595,103949.0
1596,193501.0
1597,158695.0
1598,185361.0
1599,174092.0
1600,174553.0
1601,73244.0
1602,110806.0
1603,102936.0
1604,241438.0
1605,226545.0
1606,143321.0
1607,164387.0
1608,189938.0
1609,176599.0
1610,138299.0
1611,131530.0
1612,151366.0
1613,139378.0
1614,116111.0
1615,81096.0
1616,77346.0
1617,88523.0
1618,113955.0
1619,122841.0
1620,142265.0
1621,128153.0
1622,129779.0
1623,256703.0
1624,191194.0
1625,120087.0
1626,157081.0
1627,166005.0
1628,252617.0
1629,178545.0
1630,290341.0
1631,208627.0
1632,228686.0
1633,160239.0
1634,165037.0
1635,163101.0
1636,142409.0
1637,161065.0
1638,196232.0
1639,169352.0
1640,238434.0
1641,175019.0
1642,192343.0
1643,222248.0
